id;nombre;email;telefono;perfil
1;Industrial;Opal.Kirlin89@hotmail.com;Credit Card Account National Awesome;Aruba
2;software scale interactive;Kyler.Hermiston60@hotmail.com;bifurcated scalable;Small
3;deliverables reinvent 24 hour;Raven_Dooley72@gmail.com;quantify Unbranded Plastic Tuna Frozen;generating Highway Ergonomic
4;moratorium moratorium;Lane88@hotmail.com;Junction Frozen;synthesizing hard drive Robust
5;Avon;Mercedes2@yahoo.com;Intelligent Outdoors;Harbor Montana
6;Corporate Phased relationships;Columbus.Farrell59@hotmail.com;Chilean Peso Unidades de fomento;Web virtual deposit
7;Squares mint green e-business;Kallie.Hand89@hotmail.com;support Gorgeous;withdrawal
8;copying;Ellsworth51@hotmail.com;supply-chains magenta;encompassing
9;Directives;Dagmar_Larson@gmail.com;robust Engineer;Exclusive Moroccan Dirham card
10;zero tolerance;Dock_Mohr41@gmail.com;Home;Investor Public-key
